sale_year,sale_month,transactions,year_month
2014.0,1.0,206,2014-01
2014.0,2.0,1,2014-02
2014.0,12.0,53518,2014-12
2015.0,1.0,140611,2015-01
2015.0,2.0,163052,2015-02
2015.0,3.0,46277,2015-03
2015.0,4.0,1450,2015-04
2015.0,5.0,52444,2015-05
2015.0,6.0,99938,2015-06
2015.0,7.0,1302,2015-07
